gene	score	LFC	PVAL
ahi1	-0.3423196948904713	0.83141108	0.000293208
clta	-0.3398511042682729	0.250574626	0.025682842
rnmt	-0.33891804030751643	0.187017847	0.333459429
pak4	-0.3388388109662084	0.169467219	0.49647728
mob4	-0.3379234692006616	0.180967165	0.332628587
cacna1sb	-0.3367491935560897	0.830486388	0.000444126
rab40c	-0.3365928942204511	0.203115646	0.430159887
sec61b	-0.3363297466470086	0.301798367	0.000257574
eif1b	-0.3363025173379214	0.15194948	0.090380817
copb2	-0.33486200271813515	0.238143585	0.033013113
zfr	-0.33202857133007646	0.285413933	0.008387419
sox9b	-0.331988168297668	0.220454554	0.391269918
rxrga	-0.3309257885621061	0.829936222	0.003253818
lsm12b	-0.33059547664892686	0.238484267	0.033190633
col5a1	-0.33028305080961545	0.303238952	7.12e-05
ptgs2b	-0.3285946459367094	0.830108668	0.008764529
THBS1 (2 of 2)	-0.325050740078365	0.828845295	0.002624768
vgll2b	-0.3247549469860208	0.828483456	0.000749979
slc16a3	-0.32452343509138537	0.828339209	0.000182453
C6H1orf159	-0.32444290196604453	0.828774644	0.002843418
mt-co2	-0.32369129634819205	0.30452967	4.37e-45
ryr1b	-0.32292322731593537	0.828062512	0.000179988
ppp4ca	-0.32180402699879196	0.827836529	9.74e-06
uqcrfs1	-0.32025454776503237	0.251510125	0.026841397
tgif1	-0.32007507595014806	0.298831305	0.002934793
apbb2b	-0.31949484054793065	0.828440513	0.006943575
erh	-0.3194347686937987	0.224538588	0.042290295
tspan7	-0.3175803595198743	0.305449724	6.33e-05
rbbp6	-0.3175293462817458	0.257481055	0.023850762
copa	-0.31669523108708	0.230947177	0.038751533
dnmt3ba	-0.315945998236309	0.279467012	0.012630942
serf2	-0.3142903628873678	0.267338058	0.018934136
serf2	-0.3142903628873678	0.267338058	0.018934136
max	-0.31262696972762416	0.301632797	0.002223507
lta4h	-0.3091948430888028	0.230063465	0.360970466
ptp4a2a	-0.30801185048500923	0.825438529	3.29e-06
rwdd	-0.3063163107205008	0.825142393	3.49e-06
zgc:66479	-0.30580579234185323	0.213727263	0.333885667
rnf2	-0.30579868453369763	0.162903215	0.326444599
grpel1	-0.3055438344956999	0.825006635	4.37e-08
hmgb3b	-0.30449392992746716	0.168467832	0.327322667
mgea5	-0.302573953806308	0.233863602	0.038310717
abcf1	-0.3023530515115517	0.824448038	6.82e-18
alcamb	-0.3021057217190919	0.30828446	6.52e-07
gorasp2	-0.3015539462708103	0.193229709	0.330491166
rbm19	-0.3011874259210473	0.18255877	0.472306621
atp5h	-0.29926825043107164	0.227711535	0.042221564
col2a1a	-0.2990225289580202	0.308826882	1.22e-10
rhoaa	-0.2990186643940265	0.306869239	0.000895691
pfdn5	-0.2985056874796378	0.243802043	0.032990844
ctsll	-0.2923322115195785	0.30331829	0.003073538
metap1	-0.290781706691588	0.23635229	0.037921849
arpc2	-0.29048430843891826	0.197271994	0.062196204
si:ch211-271b14.1	-0.28989546192142224	0.178286745	0.32736443
si:ch211-271b14.1	-0.28989546192142224	0.178286745	0.32736443
mast3b	-0.28980912832537176	0.823647084	0.009400479
nsd1a	-0.28967063426288986	0.227213424	0.338640837
si:ch1073-365n21.1	-0.2895784426872743	0.226936436	0.376724704
syvn1	-0.28783453273504434	0.821937463	0.000212465
rhoae	-0.2860083464763383	0.205825476	0.330491166
ppid	-0.28598488024481317	0.240177444	0.036151607
psma8	-0.28163423374771723	0.218455357	0.049449686
carm1	-0.2812279771194054	0.196579502	0.063571958
elof1	-0.27982923426355943	0.279235531	0.015743948
api5	-0.27835668209205056	0.197497228	0.063240715
fam60al	-0.27766267824662727	0.820084098	8.49e-18
rnf20	-0.2763005503945669	0.159659034	0.517160713
ubqln4	-0.2756060772321013	0.265013354	0.023425982
nup85	-0.2754283538842201	0.198454353	0.328499655
meis1b	-0.2752594638416376	0.218084244	0.050276766
u2af2b	-0.2735659189662859	0.140744409	0.107108422
gtpbp4	-0.2728210032695281	0.08057966	0.281935529
mkrn4	-0.2725824241837243	0.230668422	0.365924803
ubn2a	-0.272451241687374	0.819190341	0.000159132
skp1	-0.27194375915225905	0.29988569	0.006339573
ddx3b	-0.2699933035727594	0.818713202	2.91e-12
ctnnd1	-0.2696092482112492	0.152519198	0.32005292
myl1	-0.26870588254323874	0.314208217	2.01e-11
anxa11b	-0.268679047723417	0.188874997	0.461082887
glg1a	-0.2682455111941601	0.115871465	0.603097974
hif1an	-0.2669795714226867	0.818172459	9.41e-09
ctnnb2	-0.2664233028821612	0.129679168	0.575725004
flrt3	-0.2661189805803216	0.207076298	0.058128397
ep300b	-0.26481815001800235	0.178617041	0.324773353
tmem248	-0.26287481138845686	0.231325538	0.364832151
hdlbpa	-0.26278966518653635	0.069789725	0.203477217
pfn2	-0.26274650478442396	0.315279462	5.99e-08
pola2	-0.2613798278217587	0.207123463	0.42497959
pdia3	-0.26117884693676385	0.186652983	0.072435088
msx1b	-0.2610891614175455	0.207512954	0.328222997
tnc	-0.2591380759513295	0.30955102	0.002893868
dnaja1	-0.2584181880365001	0.817572287	0.004464522
slc25a12	-0.257014202116272	0.13358456	0.56829752
vent	-0.2566442898290716	0.816328697	7.92e-05
rtn1a	-0.2557407139223193	0.040069823	0.763262297
mibp	-0.253654238956707	0.288760132	0.013207021
si:ch211-198a12.6	-0.2524603840120695	0.122049554	0.307429391
pvalb1	-0.2516082165421524	0.815396154	1.8e-27
prr14	-0.2515060891149564	0.816019213	0.002789461
eif2s3	-0.25141865589933776	0.089853365	0.286497954
rras2	-0.251210254193969	0.201642673	0.326444599
fam13a	-0.24819054448147215	0.814776427	6.95e-06
sdr16c5b	-0.24637334438710135	0.815231137	0.003431737
coro1ca	-0.24597126701413574	0.207270688	0.059974607
aars	-0.24552978096057088	0.176527546	0.08143638
cdc42l	-0.24545397523259008	0.05433199	0.732117382
slc35f6	-0.24476434885278847	0.180435464	0.322914924
rlf	-0.2447424926684142	0.81414676	2.75e-06
phgdh	-0.24396346030509342	0.27759024	0.01961532
tmem161a	-0.24299299124775248	0.234059512	0.342728662
si:dkey-118j18.2	-0.24287966378646947	0.197990313	0.444099594
eno3	-0.2411531535321694	0.318604582	0.000265885
itih2	-0.24108271286293387	0.296339804	0.010581973
efhd2	-0.24031408737206827	0.189701209	0.323802366
wasf3b	-0.23997527651604067	0.283303967	0.017067949
smarca5	-0.23955195125088913	0.204132919	0.062677223
rsrp1	-0.23896278712872338	0.172565235	0.493453124
arcn1b	-0.23886607210452573	0.191540258	0.323898205
fzr1a	-0.23732600635829423	0.293641205	0.012198626
PEPD	-0.23693712827645344	0.08307623	0.671001912
foxp1a	-0.23668411334028072	0.812670695	1.21e-09
gamt	-0.23652837192083453	0.069509946	0.243357572
renbp	-0.23594785020571343	0.203732039	0.325152426
eif3ea	-0.23570917533320646	0.078965861	0.269124908
cbx5	-0.23414897796690579	0.32048049	2.36e-06
snrnp200	-0.23390501863074684	0.080466903	0.676549876
dnajc8	-0.23350215297434268	0.178854141	0.481554437
supt16h	-0.23295689397761976	0.18986034	0.073116221
stk35l	-0.23197670926470026	0.166895181	0.319003561
rpa3	-0.23109451887730093	0.811642363	8.93e-07
si:ch73-21g5.7	-0.22976297813956664	0.145617073	0.545565576
cdk2	-0.22937241528867747	0.811334028	3.55e-05
tbc1d10aa	-0.22864367573359584	0.235264371	0.343494688
dhrs3b	-0.22860835654279765	0.232889794	0.364044398
ptges3b	-0.2285743441169929	0.29062905	0.014406271
ccdc82	-0.22791400348723745	0.811199073	0.000534477
rap1b	-0.22730839724664975	0.261391644	0.029571601
wdr43	-0.22593773568404385	0.178008035	0.082479448
alg2	-0.2248223588488757	0.810804455	0.001204276
ckma	-0.22422674453450622	0.322318097	2.91e-15
tuba7l	-0.2239333493322252	0.812192719	0.009148479
tuba7l	-0.2239333493322252	0.812192719	0.009148479
med24	-0.2226491239290559	0.221504377	0.327073158
BX957278.1	-0.22257060632185077	0.811656873	0.00719605
slc3a2a	-0.2211343111267534	0.046875289	0.749166731
ints8	-0.21994762886518704	0.234626502	0.358253541
phc2a	-0.2196856264252337	0.809529203	1.22e-09
acsl4a	-0.21953376016670603	0.150062158	0.31326927
mrpl36	-0.21797391581127246	0.222863306	0.326993445
anxa1a	-0.21765192993703908	0.086945123	0.275078579
hnrpl	-0.21683764901348035	0.129249061	0.125555156
lbr	-0.21660189532503252	0.323588225	6.5e-05
BICD2 (2 of 2)	-0.21654573884408054	0.203824632	0.32316302
six7	-0.2140447565234772	0.808876449	0.001447725
prim2	-0.2121661927796301	0.133529664	0.569614623
tiam2a	-0.20944125060726437	0.807622171	2.05e-05
crk	-0.20763821065125942	0.321609203	0.001681667
stag2b	-0.20746247534794968	0.325256906	8.29e-05
akap12b	-0.20596280827170668	0.32572728	9.97e-12
C19H6orf62	-0.20525475112225255	0.20213594	0.067502155
sod1	-0.20227275685812007	0.806455518	0.000636382
caska	-0.201811642972063	0.244935607	0.041075346
six4a	-0.20036759246862534	0.806019031	0.000368984
ppm1bb	-0.19996540860970005	0.133517994	0.56996786
gclc	-0.19967686047834665	0.235645619	0.335263438
usp39	-0.19956068964793855	0.143014518	0.551443699
rbm4.3	-0.19921473254176641	0.326999051	5.07e-08
sdc4	-0.19629343938554292	0.327551656	9.61e-08
gmfb	-0.1955124062929801	0.137042407	0.305579294
txnrd1	-0.19482502140567004	0.804860215	9.96e-10
COX5B (2 of 3)	-0.19469438655743387	0.183925812	0.081534218
acsbg2	-0.19458725115290668	0.213936154	0.322334828
rbm39a	-0.19377894348511815	0.23070062	0.050276766
sdprb	-0.19349033924392633	0.1180128	0.296114562
fkbp1aa	-0.19289625483157125	0.118206377	0.141192057
eif3i	-0.19257757024383693	0.086339008	0.266580876
thoc1	-0.1923738212311693	0.178828571	0.482861456
tnni2b.1	-0.19125811255366776	0.07802204	0.245258851
zic1	-0.19020558645110797	0.803982549	3.97e-09
tfam	-0.18877711259964686	0.231766618	0.328080109
ston2	-0.18842763364729395	0.224818763	0.3242832
anxa1c	-0.18565624963870964	0.107561984	0.155703696
pdlim1	-0.18324980129864002	0.184248416	0.316787096
rps26	-0.18279877110267517	0.084690441	0.196642349
ldhba	-0.18240611247437244	0.082859938	0.201995951
gmps	-0.1810482430547489	0.318602267	0.00525009
sars	-0.1804425677696843	0.324681851	0.002582477
zgc:77849	-0.1800629478661227	0.055476002	0.731481937
atp6v1g1	-0.1797790945050769	0.237099223	0.047759889
myhz1.1	-0.17884025167642725	0.198700503	0.072641375
pan3	-0.1776640471682874	0.170313472	0.499567843
clk2a	-0.17756872791272127	0.80156645	4.82e-06
cfl1l	-0.17569721301893762	0.331485053	2.19e-07
spry2	-0.17445229276847998	0.196454095	0.31771403
ucp2	-0.1740291717980772	0.800883233	1.55e-09
rbp4	-0.17352565002476603	0.331903478	2.9e-07
hnrnpm	-0.1727022535384904	0.330787466	0.000552839
ssr2	-0.17204277263678114	0.332167426	9.94e-06
calr3a	-0.17166711462105655	0.230988404	0.052249979
hmgb1b	-0.171585694067698	0.33222737	2.22e-05
plcd1b	-0.16988005409840215	0.223840045	0.321832019
arl14ep	-0.16742356538353048	0.237639616	0.355008351
plaa	-0.1674185001078793	0.800088351	0.001498107
sipa1l1	-0.16375499952984163	0.798931277	0.000111916
her8a	-0.16357138900337442	0.320317527	0.005954062
cct6a	-0.16356847284407727	0.086035854	0.254293786
fn1b	-0.16170197277949894	0.310642305	0.01054616
cadm1a	-0.16098114104839756	0.801206845	0.011783649
mrps30	-0.16012004241744127	0.237717967	0.356028504
zgc:174153	-0.15948705252651546	0.334624902	1.52e-06
papolg	-0.15834258673074536	0.310827207	0.010748832
kifc1	-0.15682891850713887	0.233365181	0.052249979
mcm8	-0.15624700694414007	0.799193401	0.00597373
fubp1	-0.155387849161862	0.12409193	0.140809733
mphosph6	-0.15478271584608916	0.799924905	0.010890766
smfn	-0.15435910334225122	0.79767835	0.001856533
nt5dc2	-0.15301226561132364	0.796794255	5.79e-24
uba2	-0.15148016938262038	0.335433946	0.000326925
foxo3b	-0.1500166919622073	0.235478306	0.325647576
ezh2	-0.1499128714263881	0.796185293	5.63e-07
znf706	-0.14991183618149947	0.173929564	0.310864242
srrm1	-0.14838604287968316	0.211035331	0.067422965
zswim8	-0.14779939530248581	0.107612462	0.622962493
ubap2b	-0.14732346892707626	0.171035086	0.0970709
ube2ib	-0.14718510667510631	0.335231404	0.000775962
cotl1	-0.14669823186977882	0.19965219	0.07544921
asb2b	-0.1452205473237843	0.795304638	0.000124555
tmem182a	-0.14467816325949173	0.240712142	0.337937007
emp2	-0.14464389708889958	0.136927415	0.128564186
jak1	-0.14452028512558138	0.170211045	0.309323781
aip	-0.1443258462273522	0.199834336	0.314900069
arpc1a	-0.14376679231893763	0.334429763	0.00140998
adgrg1	-0.14334421784930773	0.2404743	0.334746415
mt-atp6	-0.14245626945269152	0.794712897	2.75e-126
nucb2a	-0.1421552002928445	0.158875413	0.305901365
mtdha	-0.14172448579298813	0.054714265	0.734244289
ywhae1	-0.13807320691843883	0.130011342	0.137042809
hif1ab	-0.1377349598668599	0.221632327	0.061549384
metrn	-0.137006661074837	0.326100865	0.005631075
ndufs2	-0.13691167439079532	0.081207956	0.677668232
yod1	-0.13601001280380579	0.151188584	0.537389121
cnn3b	-0.13574825989018938	0.188997437	0.312206978
prmt1	-0.13325603643095552	0.792883263	1.97e-48
gnb3b	-0.1329822662521859	0.796162087	0.012677554
slc27a2a	-0.13282362764165648	0.320645986	0.008437666
nipbla	-0.1323636759434229	0.792705303	7.67e-07
chd1	-0.13228949738874482	0.1541249	0.531845001
sptb	-0.13180470904281	0.194724977	0.454345652
si:dkeyp-84f3.9	-0.131182632636258	0.203473712	0.437403322
col9a1b	-0.13007301141707794	0.198861422	0.077849795
si:dkey-26g8.5	-0.1297463992308331	0.274492805	0.031369045
pgam1a	-0.12952078604686074	0.172806807	0.30809157
msto1	-0.12930581708266442	0.240103489	0.328806625
smad7	-0.12777194071161813	0.792475979	0.001895778
COL13A1	-0.12646664337781843	0.794594529	0.010726817
arid4a	-0.12641630231471696	0.32575819	0.006693242
GPA33 (2 of 2)	-0.12586070055640405	0.09739879	0.644374014
nr2f6b	-0.12510801856404258	0.340007625	0.00060613
farp2	-0.12493528153564346	0.182551722	0.309710877
srsf2a	-0.1246550495427774	0.341526514	1.48e-06
cox5aa	-0.12425940677991525	0.340101726	0.000638378
rab1ab	-0.1242407017503507	0.338241379	0.001432146
atp6v1ba	-0.12411984761879846	0.124482013	0.287781961
col18a1	-0.12345599188998696	0.341756815	6.14e-06
myl7	-0.12298553804463419	0.226741992	0.317284093
psma5	-0.12296918841326121	0.256509001	0.041887249
nup98	-0.12286360145919349	0.287112514	0.025431676
si:ch211-185a18.2	-0.12253269526776223	0.794193395	0.012613709
hspg2	-0.12084349721706891	0.196974254	0.450390283
fam222bb	-0.1208018385555092	0.220195268	0.315447001
golph3	-0.12070804278648997	0.206631828	0.31326927
s100a10b	-0.11983483331352385	0.252912638	0.044247108
pfklb	-0.11845618721076073	0.32018419	0.009893014
h2afvb	-0.1176257119192085	0.342948565	1.11e-13
capzb	-0.11719530991471905	0.189207753	0.086425192
ptena	-0.11521048193391016	0.307641151	0.016012527
h2afva	-0.11477582065839267	0.32962599	0.005983127
rcor2	-0.1145939228099635	0.291392846	0.02401449
ywhabb	-0.11396957266536545	0.182765745	0.091768778
SPTBN1	-0.11393374888213856	0.168689109	0.504532499
dhx15	-0.11371435139012542	0.236508297	0.054618718
rangap1a	-0.11339913304553867	0.187546004	0.309323781
sema6bb	-0.11295889534924897	0.791685702	0.00919382
tmem67	-0.11250928477271188	0.186694496	0.470343363
myl12.1	-0.11233503983503923	0.102003982	0.182620094
myl12.1	-0.11233503983503923	0.102003982	0.182620094
rbx1	-0.11170233523097996	0.185190131	0.308658173
pes	-0.1116826458949784	0.315175302	0.012786416
angptl2b	-0.11126807154903583	0.194514491	0.310329669
dek	-0.10876887512281408	0.218507866	0.066629437
EME2	-0.10846239204354646	0.791398824	0.011906709
tardbpl	-0.10831060274230296	0.343818066	0.000429645
rnf44	-0.10781047010321018	0.320791696	0.01054616
rbm14a	-0.10761735566199672	0.27886865	0.0311009
peli1b	-0.10525011592798716	0.788115845	0.002308614
sltm	-0.10523484472095718	0.336578172	0.003775719
banf1	-0.10500566009102869	0.345515642	1.02e-06
actc1a	-0.10334499829810684	0.216153469	0.068783286
rrm1	-0.10316928878322067	0.345881264	5.51e-06
myo16	-0.10086791223452007	0.78653686	0.000524499
phb	-0.10065158553524907	0.331765745	0.0062659
lims1	-0.09974372463395254	0.326645985	0.008611964
pcyt2	-0.09902407580199679	0.785956252	3.46e-05
rwdd1	-0.09722631403717064	0.78557146	7.3e-07
atp6v1d	-0.09661565801291305	0.211747	0.311336475
sall4	-0.09629343025362014	0.785378595	2.38e-08
cdc42	-0.09565257843317532	0.234147402	0.057924975
stip1	-0.09550104124526293	0.24382815	0.051997681
phlda2	-0.09368485028781615	0.232724811	0.377498658
ppp1cab	-0.09346380450762212	0.335932757	0.00507393
kdm6a	-0.09326610406697067	0.208875792	0.310526249
sh3bp4a	-0.09298865515534574	0.202425443	0.440846787
sesn3	-0.09218338911244299	0.348159257	1.23e-07
kidins220a	-0.09196885594728887	0.243491484	0.34324301
prdx2	-0.0915155930951064	0.347126328	0.000487146
snu13b	-0.09073163175833211	0.33970703	0.003686765
yap1	-0.09008636709809806	0.348511857	3.43e-05
khsrp	-0.08735907761433126	0.113095007	0.169737142
amd1	-0.08716065414375695	0.783484361	7.32e-12
phox2a	-0.08697533972571325	0.784580025	0.002789461
ITIH4 (1 of 2)	-0.08677331109893797	0.319031516	0.013207004
dyrk1ab	-0.08450770483952807	0.782942094	2.53e-05
neb	-0.08443426038116775	0.78291567	2.91e-15
stox2a	-0.08342100880711512	0.244453119	0.339521916
carhsp1	-0.08309518178170246	0.096545124	0.647306799
snrpb	-0.0826739117367864	0.10683805	0.182498676
ccnd1	-0.0812476061915973	0.350437706	4.77e-16
mpi	-0.08124227024156705	0.782319189	0.000161436
pa2g4a	-0.08108529472050954	0.350460959	4.43e-06
si:dkey-90l23.1	-0.07841162837246984	0.371620977	0.34201815
uso1	-0.07787124042619095	0.08805513	0.665005625
pax2b	-0.07597275173233609	0.370941466	0.343025638
si:dkey-20i20.2	-0.07472510035635671	0.36956831	0.34532201
apbb1ip	-0.07433355229678629	0.373168193	0.339202086
aspm	-0.07424075818112252	0.216216286	0.071919914
apoa4b.2	-0.0720398515134113	0.323131782	0.012642701
myo18aa	-0.07201849181785847	0.782747756	0.006222761
PTGDS (3 of 3)	-0.07152939286324866	0.784342191	0.012372973
wnt11	-0.07063423908847233	0.782133585	0.00525009
si:ch211-178n15.1	-0.07037277980138001	0.372718313	0.339706149
si:ch73-144d13.8	-0.07028576115199309	0.379326578	0.329405916
actr2a	-0.07001056311593051	0.345833685	0.002892608
smarca4a	-0.07001019810651743	0.09878804	0.233714592
stat2	-0.06927372400709675	0.371061568	0.342423577
gfra3	-0.06804691600165369	0.377076988	0.332628587
csnk1e	-0.06747150736606233	0.376513076	0.333459429
zbtb40	-0.06743935054933087	0.375187113	0.335531132
cited4b	-0.06743153816856305	0.333044345	0.008617593
sb:cb1058	-0.06702214457267702	0.380723215	0.327190414
tbc1d17	-0.06618388399383601	0.231950031	0.381209398
rcl1	-0.06573617773870022	0.242649666	0.319696348
scnm1	-0.06552025029799358	0.374369667	0.33671916
six6b	-0.06501555270644455	0.3688777	0.345964648
celf4	-0.06482930510646456	0.382205997	0.324977353
uba52	-0.06381427351482785	0.012592588	0.832091134
aup1	-0.06299813126626884	0.196507097	0.304971016
cdca7a	-0.0629716548144169	0.35277566	0.000623533
sec61g	-0.06293541055898069	0.158797085	0.294736733
pfkfb4b	-0.0626839812382073	0.350253251	0.001688626
jph1b	-0.06266775810367575	0.778962347	0.00141222
mfsd2ab	-0.06246803740105478	0.77840359	0.000268732
stx6	-0.06210571916045676	0.241045208	0.317055108
AC024175.6	-0.06175856279617675	0.37541154	0.334830225
fzd7a	-0.06155614539115917	0.778083411	6.11e-39
pkn3	-0.06127474705705416	0.363750843	0.355196621
myef2	-0.0612743829854146	0.291774198	0.028733825
eif3g	-0.06050566307995686	0.122980482	0.161047685
ARX (2 of 2)	-0.06028647510228513	0.368126847	0.347023562
mapk6	-0.06006753762404006	0.342323101	0.00525009
sumo3a	-0.060000540619768936	0.354932773	1.9e-07
dlgap1b	-0.05989351701117723	0.377555172	0.331398669
galnt16	-0.05948020915891977	0.37673371	0.332628587
sun1	-0.05926644508485979	0.240211024	0.360749822
pik3r2	-0.05891273525522067	0.245821821	0.054514825
pik3r2	-0.05891273525522067	0.245821821	0.054514825
nexn	-0.05876278573922378	0.77748588	1.08e-07
tgfbi	-0.05855601427370638	0.122317523	0.27246642
tia1	-0.05769605785397547	0.777257481	6.37e-07
chmp1a	-0.057024505254190117	0.244731414	0.321641445
tmem55a	-0.05672535983456717	0.366859731	0.349109653
atp5ib	-0.0557694368124494	0.272445621	0.039478276
ptprua	-0.055332721680110386	0.778064645	0.002929893
zgc:101040	-0.05505425246154172	0.367393308	0.348039274
nme2b.1	-0.05464371969613879	0.104204328	0.201439145
lamb2l	-0.05321773883341571	0.192801361	0.460657293
rundc3b	-0.053198207013556154	0.362136426	0.357865221
pbrm1l	-0.05313866289155615	0.1911824	0.302709757
si:ch73-18b11.2	-0.05302662580945133	0.37507481	0.334830225
rfesd	-0.05300420996407057	0.378779535	0.32913519
psenen	-0.052600458227981484	0.246820094	0.33103128
fscn1a	-0.052445539402695585	0.133482772	0.279978737
cyfip1	-0.051881949289287195	0.342848269	0.005748885
otx1a	-0.05154800730970932	0.776477322	0.001146402
atp5g1	-0.05118919826421837	0.354585916	0.000911502
tmem141	-0.05036043139433144	0.780207653	0.012630942
naglu	-0.049893857581704226	0.381920661	0.324425645
tbxas1	-0.049056201548702494	0.371950836	0.339706149
grhpra	-0.04891871867101316	0.367754731	0.347023562
psmd12	-0.04883899683426763	0.273043939	0.039826074
tnrc6a	-0.048431931048705024	0.11762691	0.264994865
polr2h	-0.04714454396780543	0.77503081	9.93e-05
ap2m1a	-0.047036770050753796	0.124747795	0.271937255
tmem214	-0.04638271963937517	0.18639741	0.300789925
mbd3b	-0.0461444856604787	0.348191174	0.00399981
lace1b	-0.04609651826689204	0.38518102	0.319795781
col1a1a	-0.045707459817030005	0.358011089	2.41e-12
si:dkey-194j22.6	-0.0456927168658694	0.243673999	0.317275092
arl6ip1	-0.04558465259250121	0.153345624	0.535788551
lsm6	-0.04551736662936545	0.77464781	3.82e-05
bag5	-0.045448883529810136	0.384869347	0.320160147
ten1	-0.045448883529810136	0.384869347	0.320160147
nckap1	-0.04521167578396346	0.182884798	0.29978349
eef1db	-0.044269970593331265	0.15608122	0.124768596
ube2d1a	-0.043682842583570136	0.774447759	0.000441223
calua	-0.042940798575238595	0.300365763	0.026125961
odc1	-0.04290951599826365	0.130048663	0.275469499
tars	-0.04253330768603652	0.335743449	0.009650173
ewsr1a	-0.041929827085433406	0.356235107	0.001051759
cyp4t8	-0.041792527276778624	0.242378336	0.35622192
cyp4t8	-0.041792527276778624	0.242378336	0.35622192
huwe1	-0.041310885525183694	0.240931612	0.059359594
uba1	-0.04092086577034004	0.156725518	0.12465317
ribc2	-0.04026389245199158	0.360674404	0.360028036
actl6a	-0.03950073249580862	0.356262339	0.001254479
camk2g1	-0.03936028865301121	0.163281777	0.29289767
tmco6	-0.039068914509793606	0.381804259	0.323898205
eif4g2b	-0.03830355924625961	0.104076983	0.22488034
si:ch73-221f6.4	-0.0382142496748088	0.368706217	0.344680747
ubxn1	-0.03783504870415175	0.20311979	0.441503916
sema3fb	-0.037709740828149596	0.773226957	0.00060023
mff	-0.037469680806197864	0.205074899	0.43775868
med12	-0.03737763853651618	0.297243833	0.028210569
atp2b4	-0.03702253424109578	0.357624123	0.000919742
SORCS2	-0.036018284026101355	0.375656417	0.332860844
uqcrc2b	-0.034059746667904345	0.221619966	0.072729187
si:ch211-279m15.1	-0.03321014226911739	0.379435115	0.326923672
ETFA	-0.03193546150930102	0.122830787	0.595646523
gsta.1	-0.031048935254634924	0.77169159	0.000445993
morf4l1	-0.031015530209325633	0.283222505	0.036069343
cdc73	-0.030859892578958187	0.224868513	0.306026584
jmjd1cb	-0.03045310722590433	0.77133131	5.73e-08
slc22a6l	-0.02964082378105576	0.378224635	0.328499655
fxyd6l	-0.028672997440774978	0.35874258	0.001204276
zgc:113295	-0.02838186803399062	0.383031764	0.321514001
spag6	-0.02793133835943773	0.382729475	0.321899464
slmo2	-0.027909501331056075	0.77077346	8.09e-06
txndc5	-0.02724089650094051	0.359263134	0.001120773
wdr5	-0.02697111860247616	0.360734673	0.000552406
fam98a	-0.02586430278583063	0.774663121	0.01054616
npl	-0.025633150417771852	0.171879107	0.501086885
C13H9orf72	-0.02515713165558453	0.389522254	0.313024006
uhmk1	-0.025119823988775825	0.380418169	0.324977383
ctdnep1b	-0.024603712590811178	0.381245904	0.32375916
ociad2	-0.02447720438780515	0.389594332	0.312893014
chmp2bb	-0.02409441205767284	0.230479539	0.306514917
edf1	-0.02353273676516554	0.210615041	0.081661047
gabarapb	-0.02274556367734848	0.232736752	0.066586823
si:ch211-157c3.4	-0.02235435194103641	0.170058894	0.114695027
uckl1b	-0.022073393392370133	0.77510386	0.015130665
flot2a	-0.02190960146257448	0.110561957	0.199071509
arsk	-0.021312055298063237	0.362551806	0.355210064
ldb3a	-0.021140929576685383	0.363085717	0.000128137
xpo1a	-0.021108960838754916	0.362021773	0.000555661
ttyh2l	-0.02103060852819949	0.357580392	0.365275751
sgk1	-0.020508745706009912	0.769125387	6.48e-07
sox2	-0.020126535128141332	0.769039764	1.87e-14
si:dkey-114c15.7	-0.02012612795921309	0.361915439	0.356394937
si:ch211-209a2.1	-0.019210367178770255	0.161044238	0.521832457
spry1	-0.018827509745744875	0.387696503	0.314812811
prrc2a	-0.01877808338090936	0.211263958	0.081758335
knop1	-0.018658321772394793	0.214303544	0.302709757
arpc4l	-0.018561965200069978	0.337103205	0.011216852
EHBP1L1 (1 of 2)	-0.018472042048010562	0.774078469	0.013901238
lasp1	-0.017693677595879698	0.198157263	0.091682683
azin1b	-0.01629811926391056	0.14022949	0.147341499
rif1	-0.01608492581990257	0.360495342	0.001614353
rab11a	-0.01568407491469126	0.202458804	0.088642147
top2a	-0.015386345848483418	0.127021746	0.266223904
ncam1a	-0.015297551103358061	0.361172413	0.00141222
kdm3b	-0.014476274682397696	0.364755366	5.56e-05
cox17	-0.014216139659251593	0.239279344	0.30855623
sesn2	-0.013848792977481206	0.35671059	0.36669939
slc8a1a	-0.013823059709188179	0.374346718	0.333581694
sox10	-0.013228930789596416	0.767512849	3.33e-05
stox1	-0.013021593373770846	0.767472144	4.41e-05
prdx5	-0.012809239576356672	0.162479175	0.288475591
arf4a	-0.012804662393894994	0.76740955	1.89e-05
zfhx4	-0.012338842291760643	0.347593285	0.00726895
im:7148292	-0.012166778193969066	0.331992095	0.01406143
ralba	-0.011950119061289066	0.374350174	0.333459429
cast	-0.011296596772137475	0.149610051	0.282071533
mia	-0.011016784841945793	0.238079137	0.370504761
atp5l	-0.010761089158210257	0.360618936	0.002039212
slc39a7	-0.010710434949360142	0.344898795	0.008559427
ak1	-0.010533642183156222	0.221056264	0.075806783
msi1	-0.01044193285597006	0.131990842	0.269688843
mars	-0.010430956430990047	0.17518672	0.495292399
ZNF830	-0.009852638915581968	0.355244903	0.369603485
birc2	-0.008840913969338282	0.766573359	0.000122568
atp2b3a	-0.008603515124694483	0.375731567	0.33103128
klc2	-0.00787223094396494	0.301723297	0.028768926
asb2a.1	-0.007833600329962387	0.35469817	0.370671252
